Unnamed_0,유방암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
화 합 물 번 호,MCF7,MDA-MB-231,MDA-MB-231 -L/DOX,SK-BR-3,BT-20,HCC1395,HCC1954,JIMT-1,MDA-M B-468
92.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
93.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
94.0,> 2 μM,> 2 μM,> 2 μM,1.85 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,1.85 μM
95.0,1.29 μM,1.41 μM,1.03 μM,0.47 μM,1.87 μM,> 10 μM,0.48 μM,> 2 μM,0.47 μM
96.0,> 2 μM,> 2 μM,> 2 μM,0.98 μM,> 2 μM,> 10 μM,1.04 μM,> 10 μM,0.98 μM
97.0,> 2 μM,1.78 μM,1.13 μM,0.76 μM,> 2 μM,> 10 μM,0.78 μM,> 10 μM,0.76 μM
98.0,> 2 μM,1.86 μM,> 2 μM,1.00 μM,> 2 μM,> 10 μM,1.31 μM,> 10 μM,1.00 μM
99.0,> 2 μM,1.17 μM,> 2 μM,0.67 μM,> 2 μM,> 2 μM,0.78 μM,> 10 μM,0.67 μM
100.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
101.0,> 2 μM,> 2 μM,> 2 μM,1.67 μM,> 2 μM,> 10 μM,1.22 μM,> 10 μM,1.67 μM
102.0,> 2 μM,1.72 μM,> 2 μM,0.85 μM,> 2 μM,> 10 μM,1.02 μM,> 10 μM,1.35 μM
103.0,> 2 μM,> 2 μM,> 2 μM,1.74 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
104.0,> 2 μM,1.54 μM,> 2 μM,0.93 μM,> 2 μM,> 10 μM,1.05 μM,> 10 μM,1.46 μM
105.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
106.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM
107.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 10 μM,> 2 μM,> 10 μM,> 2 μM

--- Table Metadata for Table8 ---
Header Row (0-indexed in sheet): 334
Last Data Row (0-indexed in sheet): 442
Number of Data Rows (Length of Table): 108
