compound_id,target_id,assay_id,qualifier,value_std,unit_std,year,qc_pass,provenance_file,provenance_sheet,provenance_row,compound_key
Example 300,cell:HCT116.WT,cell.proliferation.ic50,=,5.3,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,3,
Example 300,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,3,
Example 301,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,4,CFWXSGORTHRYME-UHFFFAOYSA-N
Example 301,prmt5,prmt5.enzyme.ki.A,=,0.00122,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,4,CFWXSGORTHRYME-UHFFFAOYSA-N
Example 301,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,4,CFWXSGORTHRYME-UHFFFAOYSA-N
Example 302,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,5,MDBCGAYSTMRRGG-UHFFFAOYSA-N
Example 302,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,5,MDBCGAYSTMRRGG-UHFFFAOYSA-N
Example 303,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,6,FPEOEMCXKLFFIA-UHFFFAOYSA-N
Example 304,cell:HCT116.WT,cell.proliferation.ic50,=,4.1,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,7,DDDZBCQQEFBNIR-UHFFFAOYSA-N
Example 304,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,7,DDDZBCQQEFBNIR-UHFFFAOYSA-N
Example 305,cell:HCT116.WT,cell.proliferation.ic50,=,8.77,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,8,XAXSXLSJYBEFEX-UHFFFAOYSA-N
Example 305,prmt5,prmt5.enzyme.ki.A,=,0.0151,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,8,XAXSXLSJYBEFEX-UHFFFAOYSA-N
Example 305,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,8,XAXSXLSJYBEFEX-UHFFFAOYSA-N
Example 306,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,9,BBGUOWHRNUUUKV-UHFFFAOYSA-N
Example 306,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,9,BBGUOWHRNUUUKV-UHFFFAOYSA-N
Example 307,cell:HCT116.WT,cell.proliferation.ic50,=,7.66,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,10,SDJFVRXUEXFVGV-UHFFFAOYSA-N
Example 307,prmt5,prmt5.enzyme.ki.A,=,0.00188,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,10,SDJFVRXUEXFVGV-UHFFFAOYSA-N
Example 307,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,10,SDJFVRXUEXFVGV-UHFFFAOYSA-N
Example 308,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,11,KHOCSUYVRKWIEU-UHFFFAOYSA-N
Example 308,prmt5,prmt5.enzyme.ki.A,=,0.00234,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,11,KHOCSUYVRKWIEU-UHFFFAOYSA-N
Example 308,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,11,KHOCSUYVRKWIEU-UHFFFAOYSA-N
Example 309,cell:HCT116.WT,cell.proliferation.ic50,=,7.44,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,12,ZAWUBXNPNUJYCD-CQSZACIVSA-N
Example 309,prmt5,prmt5.enzyme.ki.A,=,0.00235,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,12,ZAWUBXNPNUJYCD-CQSZACIVSA-N
Example 309,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,12,ZAWUBXNPNUJYCD-CQSZACIVSA-N
Example 310,cell:HCT116.WT,cell.proliferation.ic50,=,1.6,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,13,VXJSBNJPHYQJQS-UHFFFAOYSA-N
Example 310,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,13,VXJSBNJPHYQJQS-UHFFFAOYSA-N
Example 311,cell:HCT116.WT,cell.proliferation.ic50,=,2.84,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,14,HMLPLQXVEYLPQW-UHFFFAOYSA-N
Example 311,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,14,HMLPLQXVEYLPQW-UHFFFAOYSA-N
Example 312,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,15,OLDCIPPARJDOJY-UHFFFAOYSA-N
Example 312,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,15,OLDCIPPARJDOJY-UHFFFAOYSA-N
Example 313,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,16,ZYLWIPJDFRHBAG-UHFFFAOYSA-N
Example 313,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,16,ZYLWIPJDFRHBAG-UHFFFAOYSA-N
Example 314,cell:HCT116.WT,cell.proliferation.ic50,=,5.13,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,17,FNWXEFUEUBAVQA-UHFFFAOYSA-N
Example 314,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,17,FNWXEFUEUBAVQA-UHFFFAOYSA-N
Example 315,cell:HCT116.WT,cell.proliferation.ic50,=,4.34,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,18,VHKKCKBXFUXWEP-UHFFFAOYSA-N
Example 315,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,18,VHKKCKBXFUXWEP-UHFFFAOYSA-N
Example 316,cell:HCT116.WT,cell.proliferation.ic50,=,10.35,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,19,NZGMXWKWMFFOSG-UHFFFAOYSA-N
Example 316,prmt5,prmt5.enzyme.ki.A,=,0.00103,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,19,NZGMXWKWMFFOSG-UHFFFAOYSA-N
Example 316,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,19,NZGMXWKWMFFOSG-UHFFFAOYSA-N
Example 317,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,20,HEJHMKIDESPSJX-UHFFFAOYSA-N
Example 317,prmt5,prmt5.enzyme.ki.B,,,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,20,HEJHMKIDESPSJX-UHFFFAOYSA-N
Example 318,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,21,KTYJXOAINXWHLG-UHFFFAOYSA-N
