row_id,panel,cell_line,value_raw,qualifier,value,unit,provenance_file,provenance_sheet,provenance_row
1,방광암세포주,253J,1.35 μM,=,1.35,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,방광암세포주,5637,1.67 μM,=,1.67,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,폐암세포주,A549,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,신장암,ACHN,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,췌장암세포주,AsPC-1,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,유방암세포주,BT-20,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,췌장암세포주,BxPC-3,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,췌장암세포주,CFPAC-1,> 10 μM,>,10,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,전립선암세포주,CWR22,1.83 μM,=,1.83,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,췌장암세포주,Capan-1,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,췌장암세포주,Capan-2,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,대장암세포주,DLD-1,0.81 μM,=,0.81,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,폐암세포주,DMS 114,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,전립선암세포주,DU145,1.90 μM,=,1.90,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,전립선암세포주,DU145/TXR,1.65 μM,=,1.65,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,혈액암세포주,Daudi,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,유방암세포주,HCC1395,> 10 μM,>,10,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,유방암세포주,HCC1954,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,대장암세포주,HCT 116,1.67 μM,=,1.67,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,대장암세포주,HCT-15,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,대장암세포주,HCT-8,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,혈액암세포주,HL-60,1.72 μM,=,1.72,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,대장암세포주,HT-29,> 10 μM,>,10,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,자궁경부암,HeLa,> 10 μM,>,10,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,방광암세포주,J82,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,유방암세포주,JIMT-1,> 10 μM,>,10,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,혈액암세포주,Jurkat,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,방광암세포주,KU-19-19,1.94 μM,=,1.94,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,전립선암세포주,LNcap,> 2 μM,>,2,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
1,흑색종,LOX-IMVI,1.50 μM,=,1.50,uM,../base/data/bronze/artifacts/2017_raw.xlsx,표5~표14,
