compound_id,target_id,assay_id,qualifier,value_std,unit_std,year,qc_pass,provenance_file,provenance_sheet,provenance_row,smiles_raw
Example 300,cell:HCT116.WT,cell.proliferation.ic50,=,5.3,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,3,
Example 300,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,3,
Example 301,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,4,
Example 301,prmt5,prmt5.enzyme.ki.A,=,1.22,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,4,
Example 301,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,4,
Example 302,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,5,
Example 302,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,5,
Example 303,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,6,
Example 304,cell:HCT116.WT,cell.proliferation.ic50,=,4.1,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,7,
Example 304,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,7,
Example 305,cell:HCT116.WT,cell.proliferation.ic50,=,8.77,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,8,
Example 305,prmt5,prmt5.enzyme.ki.A,=,15.1,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,8,
Example 305,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,8,
Example 306,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,9,
Example 306,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,9,
Example 307,cell:HCT116.WT,cell.proliferation.ic50,=,7.66,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,10,
Example 307,prmt5,prmt5.enzyme.ki.A,=,1.88,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,10,
Example 307,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,10,
Example 308,cell:HCT116.WT,cell.proliferation.ic50,>,10.0,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,11,
Example 308,prmt5,prmt5.enzyme.ki.A,=,2.34,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,11,
Example 308,prmt5,prmt5.enzyme.ki.B,,,nM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,11,
Example 309,cell:HCT116.WT,cell.proliferation.ic50,=,7.44,uM,2021,True,data/bronze/artifacts/2021_raw.xlsx,Table 19,12,
