compound_id,target_id,assay_id,qualifier,value_std,unit_std,year,qc_pass,provenance_file,provenance_sheet,provenance_row,smiles_raw
1,kras_sos1,cell.cytotoxicity.ic50,=,1.33e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,2,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12
1,kras_activation_high_gtp,cell.cytotoxicity.ic50,=,3.03e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,2,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12
1,kras_activation_no_gtp,cell.cytotoxicity.ic50,=,3.7e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,2,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12
1,egfr,cell.cytotoxicity.ic50,>,2e-05,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,2,COC=1C=C2C(=NC(=NC2=CC1OC)C)N[C@H](C)C1=CC=CC2=CC=CC=C12
2,kras_sos1,cell.cytotoxicity.ic50,=,1.27e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,3,ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C
2,kras_activation_high_gtp,cell.cytotoxicity.ic50,=,2.07e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,3,ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C
2,kras_activation_no_gtp,cell.cytotoxicity.ic50,=,5.37e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,3,ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C
2,egfr,cell.cytotoxicity.ic50,=,1.83e-05,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,3,ClC=1C=C(C=CC1)[C@@H](C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C
3,kras_sos1,cell.cytotoxicity.ic50,=,1.13e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,4,COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C
3,kras_activation_high_gtp,cell.cytotoxicity.ic50,=,1.15e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,4,COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C
3,kras_activation_no_gtp,cell.cytotoxicity.ic50,=,2.31e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,4,COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C
3,egfr,cell.cytotoxicity.ic50,>,2e-05,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,4,COC(=O)C=1SC2=C(C1)C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C
4,kras_sos1,cell.cytotoxicity.ic50,=,1.61e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,5,O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C
4,kras_activation_high_gtp,cell.cytotoxicity.ic50,=,2.43e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,5,O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C
4,kras_activation_no_gtp,cell.cytotoxicity.ic50,=,4.79e-07,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,5,O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C
4,egfr,cell.cytotoxicity.ic50,>,2e-05,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,5,O1C=CC2=C1C(=CC=C2)C(C)NC2=NC(=NC1=CC(=C(C=C21)OC)OC)C
5,kras_sos1,cell.cytotoxicity.ic50,=,1.71e-06,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,6,FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C
5,kras_activation_high_gtp,cell.cytotoxicity.ic50,=,1.3e-06,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,6,FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C
5,kras_activation_no_gtp,cell.cytotoxicity.ic50,=,5.06e-06,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,6,FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C
5,egfr,cell.cytotoxicity.ic50,>,2e-05,M,2018,True,data/bronze/artifacts/2018_raw.xlsx,Sheet1,6,FC=1C=CC(=C2C=NNC12)C(C)NC1=NC(=NC2=CC(=C(C=C12)OC)OC)C
