compound_id,target_id,assay_id,qualifier,value_std,unit_std,year,qc_pass,provenance_file,provenance_sheet,provenance_row,compound_key
1,cell:방광암세포주.KU-19-19,cell.cytotoxicity.ic50,=,1.94,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:방광암세포주.253J,cell.cytotoxicity.ic50,=,1.35,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:방광암세포주.5637,cell.cytotoxicity.ic50,=,1.67,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:방광암세포주.J82,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:방광암세포주.T24,cell.cytotoxicity.ic50,=,1.34,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:방광암세포주.MBT-2,cell.cytotoxicity.ic50,=,1.19,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:방광암세포주.UM-UC-3,cell.cytotoxicity.ic50,=,1.51,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:전립선암세포주.PC-3,cell.cytotoxicity.ic50,=,1.64,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:전립선암세포주.DU145,cell.cytotoxicity.ic50,=,1.9,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:전립선암세포주.DU145-TXR,cell.cytotoxicity.ic50,=,1.65,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:전립선암세포주.LNCaP,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
1,cell:전립선암세포주.CWR22,cell.cytotoxicity.ic50,=,1.83,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,JPEKBABCIRLYLZ-UHFFFAOYSA-N
