compound_id,assay_id,cell_line,genotype,value_raw,value_num,unit,censor,assay_label,provenance_file,provenance_sheet,provenance_row,meas_kind,limit
1,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[(1R)-1-(naphthalen-1-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[(1R)-1-(naphthalen-1-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,1,IC50,
2,assay.unknown.iupacs,,,"N-[(1R)-1-(3-chlorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,2,IC50,
3,assay.unknown.iupacs,,,"methyl4-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzothiophene-2-carboxylate",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,3,IC50,
4,assay.unknown.iupacs,,,"N-[1-(1-benzofuran-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,4,IC50,
5,assay.unknown.iupacs,,,"N-[1-(7-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,5,IC50,
6,assay.unknown.iupacs,,,"N-[1-(6-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,6,IC50,
7,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(5-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(5-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,7,IC50,
8,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-7-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-7-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,8,IC50,
9,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-4-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(2-methyl-2H-indazol-4-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,9,IC50,
10,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-7-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-7-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,10,IC50,
11,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-1-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-1-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,11,IC50,
12,assay.unknown.iupacs,,,"N-[(1R)-1-(4-fluorophenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,12,IC50,
13,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(3-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(3-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,13,IC50,
14,assay.unknown.iupacs,,,"N-[1-(1,3-benzothiazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,14,IC50,
15,assay.unknown.iupacs,,,"N-[1-(1-benzothiophen-7-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,15,IC50,
16,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(6-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(6-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,16,IC50,
17,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(1-methyl-1H-indazol-4-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,17,IC50,
18,assay.unknown.iupacs,,,"N-[1-(5-fluoro-1H-indazol-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,18,IC50,
19,assay.unknown.iupacs,,,"N-[1-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,19,IC50,
20,assay.unknown.iupacs,,,"N-[1-(1-benzofuran-2-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,20,IC50,
21,assay.unknown.iupacs,,,"N-[1-(2,3-dimethoxyphenyl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,21,IC50,
22,assay.unknown.iupacs,,,"N-[1-(2,3-dihydro-1-benzofuran-4-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,22,IC50,
23,assay.unknown.iupacs,,,"N-[1-(1,3-benzodioxol-5-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,23,IC50,
24,assay.unknown.iupacs,,,"N-[1-(2,3-dihydro-1-benzofuran-5-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,24,IC50,
25,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-2-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(5,6,7,8-tetrahydronaphthalen-2-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,25,IC50,
26,assay.unknown.iupacs,,,"6,7-dimethoxy-2-methyl-N-[1-(2-methylimidazo[1,2-a]pyridin-3-yl)ethyl]quinazolin-4-amine",6.0,",7-dimethoxy-2-methyl-N-[1-(2-methylimidazo[1,2-a]pyridin-3-yl)ethyl]quinazolin-4-amine",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,26,IC50,
27,assay.unknown.iupacs,,,"N-[1-(1-benzothiophen-3-yl)ethyl]-6,7-dimethoxy-2-methylquinazolin-4-amine",,,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,27,IC50,
28,assay.unknown.iupacs,,,"2-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzofuran-7-ol",2.0,"-{1-[(6,7-dimethoxy-2-methylquinazolin-4-yl)amino]ethyl}-1-benzofuran-7-ol",,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,28,IC50,
29,assay.unknown.iupacs,,,6-bromo-2-methyl-N-[(1R)-1-phenylethyl]quinazolin-4-amine,6.0,-bromo-2-methyl-N-[(1R)-1-phenylethyl]quinazolin-4-amine,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,29,IC50,
30,assay.unknown.iupacs,,,6-{[dimethyl(oxido)-lambda6-sulfanylidene]amino}-2-methyl-N-[(1R)-1-phenylethyl]quinazolin-4-amine,6.0,-{[dimethyl(oxido)-lambda6-sulfanylidene]amino}-2-methyl-N-[(1R)-1-phenylethyl]quinazolin-4-amine,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,30,IC50,
31,assay.unknown.iupacs,,,6-bromo-N-[(1R)-1-(4-fluorophenyl)ethyl]-2-methylquinazolin-4-amine,6.0,-bromo-N-[(1R)-1-(4-fluorophenyl)ethyl]-2-methylquinazolin-4-amine,,iupacs,raw/2018_WO2018172250_raw.xlsx,Sheet1,31,IC50,
