compound_id,target_id,assay_id,qualifier,value_std,unit_std,year,qc_pass,provenance_file,provenance_sheet,provenance_row,smiles_raw
1,cell:방광암세포주.KU-19-19,cell.cytotoxicity.ic50,=,1.94,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:방광암세포주.253J,cell.cytotoxicity.ic50,=,1.35,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:방광암세포주.5637,cell.cytotoxicity.ic50,=,1.67,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:방광암세포주.J82,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:방광암세포주.T24,cell.cytotoxicity.ic50,=,1.34,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:방광암세포주.MBT-2,cell.cytotoxicity.ic50,=,1.19,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:방광암세포주.UM-UC-3,cell.cytotoxicity.ic50,=,1.51,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:전립선암세포주.PC-3,cell.cytotoxicity.ic50,=,1.64,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:전립선암세포주.DU145,cell.cytotoxicity.ic50,=,1.9,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:전립선암세포주.DU145-TXR,cell.cytotoxicity.ic50,=,1.65,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:전립선암세포주.LNCaP,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:전립선암세포주.CWR22,cell.cytotoxicity.ic50,=,1.83,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:폐암세포주.NCI-H522,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:폐암세포주.NCI-H1437,cell.cytotoxicity.ic50,>,10.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:폐암세포주.A549,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:폐암세포주.NCI-H460,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:폐암세포주.MRC-5,cell.cytotoxicity.ic50,=,1.34,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:폐암세포주.DMS114,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:폐암세포주.NCI-H23,cell.cytotoxicity.ic50,=,1.34,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:폐암세포주.NCI-H1299,cell.cytotoxicity.ic50,=,1.88,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:유방암세포주.MCF7,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:유방암세포주.MDA-MB-231,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:유방암세포주.MDA-MB-231-L-DOX,cell.cytotoxicity.ic50,>,2.0,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
1,cell:유방암세포주.SK-BR-3,cell.cytotoxicity.ic50,=,1.09,uM,2017,,data/bronze/artifacts/2017_raw.xlsx,표5~표14,,
